"""ID"",""dx"",""surv"",""lx"",""age"",""qx"",""sx"",""Treat"",""m.av"",""prop.cells"""
"1,0,899,899,1,0,1,""MG1655, N =  899 cells"",NA,1"
"2,6,893,899,4,0.00667408231368187,0.993325917686318,""MG1655, N =  899 cells"",NA,1"
"3,7,886,893,7,0.00783874580067189,0.985539488320356,""MG1655, N =  899 cells"",NA,0.993325917686318"
"4,12,874,886,10,0.0135440180586907,0.972191323692992,""MG1655, N =  899 cells"",NA,0.985539488320356"
"5,8,866,874,13,0.0091533180778032,0.96329254727475,""MG1655, N =  899 cells"",NA,0.972191323692992"
"6,6,860,866,16,0.0069284064665127,0.956618464961068,""MG1655, N =  899 cells"",NA,0.96329254727475"
"7,2,858,860,19,0.00232558139534884,0.954393770856507,""MG1655, N =  899 cells"",NA,0.956618464961068"
"8,2,856,858,22,0.00233100233100233,0.952169076751947,""MG1655, N =  899 cells"",0.0050633298796685,0.954393770856507"
"9,2,854,856,25,0.00233644859813084,0.949944382647386,""MG1655, N =  899 cells"",0.00522339390527874,0.952169076751947"
"10,4,850,854,28,0.00468384074941452,0.945494994438265,""MG1655, N =  899 cells"",0.00525980285813317,0.949944382647386"
"11,5,845,850,31,0.00588235294117647,0.939933259176863,""MG1655, N =  899 cells"",0.00497964404717928,0.945494994438265"
"12,8,837,845,34,0.00946745562130178,0.931034482758621,""MG1655, N =  899 cells"",0.00432001851236632,0.939933259176863"
"13,0,837,837,37,0,0.931034482758621,""MG1655, N =  899 cells"",0.00387259746997961,0.931034482758621"
"14,2,835,837,40,0.002389486260454,0.92880978865406,""MG1655, N =  899 cells"",0.00365550174716109,0.931034482758621"
"15,2,833,835,43,0.00239520958083832,0.926585094549499,""MG1655, N =  899 cells"",0.0038280633150715,0.92880978865406"
"16,2,831,833,46,0.00240096038415366,0.924360400444939,""MG1655, N =  899 cells"",0.00391957673991826,0.926585094549499"
"17,6,825,831,49,0.0072202166064982,0.917686318131257,""MG1655, N =  899 cells"",0.00401164497464014,0.924360400444939"
"18,3,822,825,52,0.00363636363636364,0.914349276974416,""MG1655, N =  899 cells"",0.00386522640394949,0.917686318131257"
"19,3,819,822,55,0.00364963503649635,0.911012235817575,""MG1655, N =  899 cells"",0.00347306954120439,0.914349276974416"
"20,2,817,819,58,0.00244200244200244,0.908787541713014,""MG1655, N =  899 cells"",0.00342378446985908,0.911012235817575"
"21,3,814,817,61,0.00367197062423501,0.905450500556173,""MG1655, N =  899 cells"",0.0035914993545551,0.908787541713014"
"22,4,810,814,64,0.00491400491400491,0.901001112347052,""MG1655, N =  899 cells"",0.00360033814358074,0.905450500556173"
"23,3,807,810,67,0.0037037037037037,0.897664071190211,""MG1655, N =  899 cells"",0.00360922050527959,0.901001112347052"
"24,3,804,807,70,0.00371747211895911,0.89432703003337,""MG1655, N =  899 cells"",0.00344915647966935,0.897664071190211"
"25,2,802,804,73,0.00248756218905473,0.89210233592881,""MG1655, N =  899 cells"",0.00347477955507897,0.89432703003337"
"26,0,802,802,76,0,0.89210233592881,""MG1655, N =  899 cells"",0.00331749792653298,0.89210233592881"
"27,7,795,802,79,0.00872817955112219,0.884315906562848,""MG1655, N =  899 cells"",0.0032446919079021,0.89210233592881"
"28,2,793,795,82,0.00251572327044025,0.882091212458287,""MG1655, N =  899 cells"",0.00325283191604211,0.884315906562848"
"29,2,791,793,85,0.00252206809583859,0.879866518353726,""MG1655, N =  899 cells"",0.00326510328316681,0.882091212458287"
"30,2,789,791,88,0.00252844500632111,0.877641824249166,""MG1655, N =  899 cells"",0.00302352446094282,0.879866518353726"
"31,0,789,789,91,0,0.877641824249166,""MG1655, N =  899 cells"",0.0032072741020568,0.877641824249166"
"32,6,783,789,94,0.00760456273764259,0.870967741935484,""MG1655, N =  899 cells"",0.00304613530192854,0.877641824249166"
"33,1,782,783,97,0.00127713920817369,0.869855394883204,""MG1655, N =  899 cells"",0.003314325600436,0.870967741935484"
"34,2,780,782,100,0.00255754475703325,0.867630700778643,""MG1655, N =  899 cells"",0.00340169999973701,0.869855394883204"
"35,2,778,780,103,0.00256410256410256,0.865406006674082,""MG1655, N =  899 cells"",0.00325726668233061,0.867630700778643"
