deposit,state_label,drug,dose_value,dose_unit,V_mL,plated_volume_uL,H_log10_cells,target_gap_days,required_b_tail_log10_per_day,P_b_tail_exceeds_required,rate_units
era4tb,standard,isoniazid,10.0,xMIC,1.0,100.0,1.0,30,0.03333333333333333,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,100.0,1.0,60,0.016666666666666666,0.21176470588235294,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,100.0,1.0,90,0.011111111111111112,0.21176470588235294,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,100.0,2.0,7,0.2857142857142857,0.054901960784313725,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,100.0,2.0,14,0.14285714285714285,0.13725490196078433,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,100.0,2.0,30,0.06666666666666667,0.17647058823529413,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,100.0,2.0,60,0.03333333333333333,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,100.0,2.0,90,0.022222222222222223,0.21176470588235294,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,100.0,3.0,7,0.42857142857142855,0.023529411764705882,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,100.0,3.0,14,0.21428571428571427,0.0784313725490196,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,100.0,3.0,30,0.1,0.1568627450980392,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,100.0,3.0,60,0.05,0.2,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,100.0,3.0,90,0.03333333333333333,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,100.0,4.0,7,0.5714285714285714,0.0,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,100.0,4.0,14,0.2857142857142857,0.054901960784313725,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,100.0,4.0,30,0.13333333333333333,0.1411764705882353,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,100.0,4.0,60,0.06666666666666667,0.17647058823529413,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,100.0,4.0,90,0.044444444444444446,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,10.0,2.0,7,0.2857142857142857,0.054901960784313725,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,10.0,2.0,14,0.14285714285714285,0.13725490196078433,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,10.0,2.0,30,0.06666666666666667,0.17647058823529413,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,10.0,2.0,60,0.03333333333333333,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,10.0,2.0,90,0.022222222222222223,0.21176470588235294,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,10.0,3.0,7,0.42857142857142855,0.023529411764705882,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,10.0,3.0,14,0.21428571428571427,0.0784313725490196,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,10.0,3.0,30,0.1,0.1568627450980392,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,10.0,3.0,60,0.05,0.2,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,10.0,3.0,90,0.03333333333333333,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,10.0,4.0,7,0.5714285714285714,0.0,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,10.0,4.0,14,0.2857142857142857,0.054901960784313725,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,10.0,4.0,30,0.13333333333333333,0.1411764705882353,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,10.0,4.0,60,0.06666666666666667,0.17647058823529413,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,10.0,4.0,90,0.044444444444444446,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,10.0,5.0,7,0.7142857142857143,0.0,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,10.0,5.0,14,0.35714285714285715,0.03529411764705882,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,10.0,5.0,30,0.16666666666666666,0.12941176470588237,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,10.0,5.0,60,0.08333333333333333,0.1607843137254902,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1000.0,10.0,5.0,90,0.05555555555555555,0.1843137254901961,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,2.5,2.6020599913279625,7,0.3717228559039946,0.03529411764705882,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,2.5,2.6020599913279625,14,0.1858614279519973,0.11372549019607843,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,2.5,2.6020599913279625,30,0.08673533304426542,0.1607843137254902,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,2.5,2.6020599913279625,60,0.04336766652213271,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,1.0,2.5,2.6020599913279625,90,0.028911777681421804,0.20784313725490197,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,2.5,3.6020599913279625,7,0.5145799987611375,0.00784313725490196,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,2.5,3.6020599913279625,14,0.25728999938056873,0.06666666666666667,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,2.5,3.6020599913279625,30,0.12006866637759875,0.14901960784313725,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,2.5,3.6020599913279625,60,0.060034333188799374,0.1803921568627451,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,10.0,2.5,3.6020599913279625,90,0.040022888792532914,0.20392156862745098,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,2.5,4.6020599913279625,7,0.6574371416182804,0.0,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,2.5,4.6020599913279625,14,0.3287185708091402,0.050980392156862744,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,2.5,4.6020599913279625,30,0.15340199971093207,0.13333333333333333,log10 per day
era4tb,standard,isoniazid,10.0,xMIC,100.0,2.5,4.6020599913279625,60,0.07670099985546604,0.16862745098039217,log10 per day
